,content,label
0,"Wow what an amazing walk on the Great Wall of China, amazing view from each look out points along the wall, November weather was fantastic while we were there.",0
1,"I came to spend 2 hours between 2 professional meetings, I really enjoyed this large beach, the water is turquoise, there were a lot of very beautiful girls",0
2,A MUST visit in one's life. History and Art from the Byzantium Empire still kept in good shape. The chandeliers are glowing like they used to centuries ago. The mosaic speaks to you in many ways. Mesmerizing experience!,1
3,"It's was very peaceful and beautiful, go with a guide to explain the history and everything about it, really nicee pictures",0
4,It is beautiful lake in all seasons. Beautiful in summer to swim in and stunning in winter to enjoy its tranquility.,0
5,"The iconic square is located by St. Mark's Basillica. Restaurants and shops outline the square, the price is more.  There are museums and attractions in and around the square. The only way to get to San Marco is by water transport  or walk.",0
6,Our hotel was near the shops and river hotel ibis strasbourg centre petite france we walked round very busy but pretty and looking at all the restaurants to have something to eat plenty of places and lots of choice .We went to steakhouse district and had steak meal and also,1
7,"Really nice beaches, nice wooden walk along the colorful Lifeguard houses. The water is very nice, mind the flags for bathing information!",0
8,"First time inside Hagia Sophia after it became a mosque. Easy access, no entrance fee, very peaceful. Floor covered in carpet inside prayer hall.",0
9,Great piece of engineering and very well maintained. Lots of choices in the surroundings shops and restaurant.,1
10,"Very nice place to relax. Good range of attractions and amazing views. Also a good hub in central switzerland if you plan to venture further into the country. But can be overly crowded. If you are looking for a very relaxing, quiet and serene place, I would recommend Weggis which is about 45 mins ferry ride from Luzern. Costs in Weggis are also lower than Luzern.  Highly recommended and would return.",0
11,"There is very little I can write, by way of giving information, that isn't already widely available across the internet, so I'll stick to personal advice and experience. The ""At The Top"" experience can be booked up to 28 days in advance and I'd strongly recommend doing that. It can avoid hours of queueing on the day. You can also add the option of a virtual reality experience and I'd also recommend that.  The experience begins with a journey to the 125th floor in the fastest elevator I've ever been in, yet you have no real sensation of the speed when inside. It's only when you get there, and look down from the viewing platform, that you realise how far you have travelled in such a short space of time. There is a photographer offering the usual professional shots that you think you'll never buy, but they were so good that we did buy several of them. However, you can also capture many great shots with your own camera, so be sure to remember to take it with you. I'll attach several of my own to this review.",1
12,You can by a pass for historical sites and rush the lane on it. Do not forget about sun - take a covers.,0
13,"It’s a 15-minute ferry ride to this island from the Market Square marina. (I think I paid €3 roundtrip mid-week.) Ferries are frequent, and signage at both ends makes the schedule very clear. It’s a fairly good-sized set of islands connected by bridges with paved or well travelled dirt paths crossing them all. It’s very pleasant to walk around and take photos— I especially liked exploring the old armaments and fortifications.  I didn’t pay to enter the museum, and otherwise didn’t find much to DO there. (There is a small market for food and drinks.)  But if you’re content with some scenic strolling, or finding a perch to take in the atmosphere, then this is a pleasant place to spend a couple hours. If time is limited and you can choose only one, take the ferry to Tallinn instead.",0
14,Very nice  medieval surroundings - lots of restaurants - the best "au pont St. Martin"  The canals around could need a cleaning - but still a good experience.,1
15,On a bone-chilling windy wednesday of March we had a nice trip back and forth to these amazing islands and a guided tour of the fortess. The latter is absolutely recommend for a greater understanding of the dramatic history of Finland,0
16,"So the entrance here is not free so be sure to purchase a museem pass if you plan to visit them all it works out a lot cheaper.  This place is amazing set across two levels you get fantastic views of everything and Ii could have spent several hours in here.It has a mix of religions which is very interesting,  I fell in love with this place.",1
17,"a month ago Phenomenal Experience!!! It's not just tallest, it's Gorgeous too. You would not like to go away from this area. The experience you would love from the outside on the ground is far better than to go up to the 125th floor. The building looks a giant beauty from the area where Dubai fountains are!! Go in the evening to have a better experience. Dubai mall is close to the building so you spend a day in shopping then enjoy the evening over here!!!",1
18,"This is such an amazing place and a must visit when in Rome, If you look down at the arena you can just imagine what went on there, so much history.  It’s situated in the town which I did not expect.  A must visit",0
